GouldNumber,OriginalSubject,BaseFilename,FullFileName,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_CommonNameOnPiece,Bird_1_DateCreated,Bird_1_Medium,SubjectNote,Support,Artists-original,Artists,NamedArtists-original,NamedArtists,Book-ed,Book,Edition,Part,PlateNumber,SecondBook,SecondPart,SecondPlateNumber,PublicationNote,OriginalNoteworthyNote,OriginalNote,ArtistNote,GeneralNote,Size,ContentNote,PhysicalConditionNote,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_CommonNameOnPiece
2090,Phonygama hunsteini,ksrl_sc_gould_2090,ksrl_sc_gould_2090.tif,Phonygama,hunsteini,,,,Phonygama hunsteini,,,,H,H,PA_1,PA,1,1,3,,,,,,"Litho print; non-standard coloring?: colors vary from bound volume; sky, in particular, relatively unskilled.  See note to Gould 2086.",,,,"Litho print; non-standard coloring?: colors vary from bound volume; sky, in particular, relatively unskilled.  See note to Gould 2086.",,,,
2204,Phoenicura rubeculoides [&] P. caeruleocephula,ksrl_sc_gould_2204,ksrl_sc_gould_2204.tif,Phoenicura,rubeculoides,,1831-1833,,Phoenicura rubeculoides & P. caeruleocephula,,EG,EG,EG,EG,HM_1,HM,1,1,25,,,,,,Colored litho print.  See Notes to Gould 2179.,,See Notes to Gould 2179.,,Colored litho print.,,,,
2198,Phoenicura cinclorhyncha,ksrl_sc_gould_2198,ksrl_sc_gould_2198.tif,Phoenicura,cinclorhyncha,,1831-1833,,Phoenicura cinclorhyncha,,EG,EG,EG,EG,HM_1,HM,1,1,19,,,,,,Colored litho print.  Backed with a reversed text leaf of Philortyx fasciatus.  See Notes to Gould 2179.,,See Notes to Gould 2179. Backed with a reversed text leaf of Philortyx fasciatus.,,Colored litho print.,,,,
2016,Phoenicocichla venusta,ksrl_sc_gould_2016,ksrl_sc_gould_2016.tif,Phoenicocichla,venusta,,,pencil on paper,Phoenicocichla venusta,tissue,H,H,,,,,,,,,,,Unpublished. Presumably intended for the unfinished Monograph of the Pittidae.,Relationship to Gould 1141 and 1142.,"Tracing on tissue; graphited on reverse.  See. Gould 1141 and 1142, finished colored drawing and uncolored lithograph proof.",,Graphited on other side.,,"Tracing on tissue. See Gould 1141 and 1142, finished colored drawing and uncolored lithograph proof.",,,,
1141,Phoenicocichla venusta,ksrl_sc_gould_1141,ksrl_sc_gould_1141.tif,Phoenicocichla,venusta,,,"pencil, watercolor paint, chalk, charcoal, and pastel on paper",Phoenicocichla venusta,,H,H,,,,,,,,,,,Unpublished. Presumably intended for the unfinished Monograph of the Pittidae.,Relationship to Gould 1142 and 2016.,"Very finished painting; drawn line indicating change of head position; at foot of sheet: ""(see if) drawn on stone.""  Followed very closely in proof, Gould 1142; Gould 2016 is a tracing on tissue.   FS.",,,,"Very finished painting; drawn line indicating change of head position; at foot of sheet: ""(see if) drawn on stone.""  Followed very closely in proof, Gould 1142; Gould 2016 is a tracing on tissue.",Full sheet,,,
1142,Phoenicocichla venusta,ksrl_sc_gould_1142,ksrl_sc_gould_1142.tif,Phoenicocichla,venusta,,,,Phoenicocichla venusta,,,,,,,,,,,,,,Unpublished. Presumably intended for the unfinished Monograph of the Pittidae.,Relationship to Gould 1141 and 2016.,Uncolored proof litho print. Gould 1142 is a finished painting; Gould 2016 ia tracing on tissue.  FS.,,,,Uncolored proof litho print. Gould 1142 is a finished painting; Gould 2016 is a tracing of this plate on tissue.,Full sheet,,,
454,Phlogoenas johannae,ksrl_sc_gould_0454,ksrl_sc_gould_0454.tif,Phlogoenas,johannae,,1878,"watercolor paint, chalk, charcoal, and pastel on paper",Phlogoenas johannae,,G,JG,G;H,JG;H,NG_1,NG,1,5,49,,,,,,"Layout sketch, in color; ""[bird name] col. R.G. Br__. . . [ Rev. George Brown?--so credited in the text].""  36 x 34cm.",,,36 x 34cm,"Layout sketch, in color; ""[bird name] col. R.G. Br__. . . [ Rev. George Brown?--so credited in the text].""",,,,
1967a,Phlogoenas cruenta,ksrl_sc_gould_1967a,ksrl_sc_gould_1967.tif,Phlogoenas,cruenta,,1866-04,pencil on paper,Phlogoenas cruenta,tissue,R,R,G;R,JG;R,AS_1,AS,1,6,51,,,,,,"Drawing on tissue.  Preliminary drawing with many changes to wings, tails and feet.  Reverse: see Gould 1967B.",,See also image on other side.,,"Drawing on tissue.  Preliminary drawing with many changes to wings, tails and feet.",,,,
1818,Philogaenas johannae,ksrl_sc_gould_1818,ksrl_sc_gould_1818.tif,Philogaenas,johannae,,1878,pencil on paper,Philogaenas johannae,tissue,H,H,G;H,JG;H,NG_1,NG,1,5,49,,,,,,Drawing on tissue.  Reversed on the stone.,,,,Drawing on tissue.  Reversed on the stone.,,,,
0862b,Pheasants?,ksrl_sc_gould_0862b,ksrl_sc_gould_0862v.tif,,,,,pencil and watercolor paint on paper,Pheasants?,,,,,,,,,,,,,,,,"Layout drawing, probably over Gould's sketch, color added; several sketches in margin, apparently not relevant; top right corner: notes on color and form.  Title in pencil by Sotheran, bookseller.  Reverse: 2 very rough outline of pheasants? with crests; at head of page ""My home account!""; in margin, many small diagrams.  FS.",,See also image on other side.,,"2 very rough outline of pheasants? with crests; at head of page ""My home account!""; in margin, many small diagrams.",Full sheet,,,
731,Phasocolymus lasiorhinus,ksrl_sc_gould_0731,ksrl_sc_gould_0731.tif,Phasocolymus,lasiorhinus,,1863,pencil and watercolor paint on paper,Phasocolymus lasiorhinus,,FM,FM,,,MM_1,MM,1,1,59,,,,,,"Foot studies, in fine watercolor; torn from foot of sheet, ca. 9 x 23cm.  Gould 0731-0733 were pinned together in corner; separated 2-25-71; all captioned and signed ""Frederick McCoy"".  Gould's text says ""... this ... wombat has been executed partly from a fine drawing sent to me by Prof. M'Coy of Melbourne.""","Captioned and signed ""Frederick McCoy"". Gould's text says ""__ this __ wombat has been executed partly from a fine drawing sent to me by Prof. M'Coy of Melbourne.""","Gould 0731-0733 were pinned together in corner; separated 2-25-71; all captioned and signed ""Frederick McCoy"".", 9 x 23cm,"Foot studies, in fine watercolor",Torn from foot of sheet,,,
2252,Phasianus staceii,ksrl_sc_gould_2252,ksrl_sc_gould_2252.tif,Phasianus,staceii,,1831-1833,,Phasianus staceii,,EG,EG,EG,EG,HM_1,HM,1,1,68,,,,,,Colored litho print.  Backed with a reversed text leaf of Odontophorus balliviani.  See Notes to Gould 2179.,,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus balliviani.,,Colored litho print.,,,,
2253,Phasianus staceii,ksrl_sc_gould_2253,ksrl_sc_gould_2253.tif,Phasianus,staceii,,1831-1833,,Phasianus staceii,,EG,EG,EG,EG,HM_1,HM,1,1,68,,,,,,"Colored litho print.  At foot ""68A.""  As Gould 2252 but with less warm colors. On reverse, calculations, with mention of plates.  See Notes to Gould 2179.",,See Notes to Gould 2179.,,"Colored litho print.  At foot ""68A.""  As Gould 2252 but with less warm colors. On reverse, calculations, with mention of plates.",,,,
2255,Phasianus pucrasis (female),ksrl_sc_gould_2255,ksrl_sc_gould_2255.tif,Phasianus,pucrasis,,1831-1833,,Phasianus pucrasis (female),,EG,EG,EG,EG,HM_1,HM,1,1,70,,,,,,"Colored litho print.  Note in ink to the right ""The whole a little richer but not redder.""  Backed with a reversed text leaf of Odontophorus balliviani.  See Notes to Gould 2179.",,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus balliviani.,,"Colored litho print.  Note in ink to the right ""The whole a little richer but not redder.""",,,,
2254,Phasianus pucrasia [male],ksrl_sc_gould_2254,ksrl_sc_gould_2254.tif,Phasianus,pucrasia,,1831-1833,,Phasianus pucrasia male,,EG,EG,EG,EG,HM_1,HM,1,1,69,,,,,,Colored litho print.  See Notes to Gould 2179.,,See Notes to Gould 2179.,,Colored litho print.,,,,
241,Phasianus colchicus,ksrl_sc_gould_0241,ksrl_sc_gould_0241.tif,Phasianus,colchicus,,1873,"watercolor paint, chalk, charcoal, and pastel on paper",Phasianus colchicus,,H,H,G;H,JG;H,GB_1,GB,1,4,12,,,,,,"Brilliantly colored preliminary watercolor of three birds, giving a general effect of the print, in the layout adopted.  Title in pencil by Sotheran, bookseller.  FS.",,,,"Brilliantly colored preliminary watercolor of three birds, giving a general effect of the print, in the layout adopted. Title in pencil by Sotheran, bookseller.",Full sheet,,,
1618,Phasianus chrysomelas,ksrl_sc_gould_1618,ksrl_sc_gould_1618.tif,Phasianus,chrysomelas,,1876-07,pencil on paper,Phasianus chrysomelas,tissue,W,W,G;W,JG;W,AS_1,AS,1,7,36,,,,,,Tracing on tissue.,,Graphited for tracing on other side.,,Tracing on tissue.,,,,
2251,Phasianus albo-cristatus (female),ksrl_sc_gould_2251,ksrl_sc_gould_2251.tif,Phasianus,albo-cristatus,,1831-1833,,Phasianus albo-cristatus (female),,EG,EG,EG,EG,HM_1,HM,1,1,67,,,,,,Colored litho print.  See Notes to Gould 2179.,,See Notes to Gould 2179.,,Colored litho print.,,,,
2250,Phasianus albo-cristatus,ksrl_sc_gould_2250,ksrl_sc_gould_2250.tif,Phasianus,albo-cristatus,,1831-1833,,Phasianus albo-cristatus,,EG,EG,EG,EG,HM_1,HM,1,1,66,,,,,,"Colored litho print.  Background colored.  Below bird ""Legs rather redder.""  Backed with a reversed text leaf of Odontophorus balliviani.  See Notes to Gould 2179.",,See Notes to Gould 2179. Backed with a reversed text leaf of Odontophorus balliviani.,,"Colored litho print.  Below bird ""Legs rather redder.""",,,,
0790a,Phascolomys wombat,ksrl_sc_gould_0790a,ksrl_sc_gould_0790.tif,Phascolomys,wombat,,1855,pencil on paper,Phascolomys wombat,,R,R,G;R,JG;R,MM_1,MM,1,1,56,,,,,,"Layout drawing, animal well finished.  Reverse: very quick layout sketch for obverse, with a formless outline over it accompanied by the word ""smaller"".  FS.",,See also image on other side.,,"Layout drawing, animal well finished.",Full sheet,,,
0791a,Phascolomys wombat,ksrl_sc_gould_0791a,ksrl_sc_gould_0791.tif,Phascolomys,wombat,,1855,pencil on paper,Phascolomys wombat,,R,R,G;R,JG;R,MM_1,MM,1,1,55,,,,,,"Layout drawing, animal well finished; note on form; ""Reverse this"" at foot of page.  Reverse: very rough layout sketch for obverse, with the note ""Head a size larger than life; unrelated sketch of a field trap(?).  FS.",,See also image on other side.,,"Layout drawing, animal well finished; note on form; ""Reverse this"" at foot of page.",Full sheet,,,
0790b,Phascolomys wombat,ksrl_sc_gould_0790b,ksrl_sc_gould_0790v.tif,Phascolomys,wombat,,,pencil on paper,Phascolomys wombat,,,,,,,,,,,,,,,,"Layout drawing, animal well finished.  Reverse: very quick layout sketch for obverse, with a formless outline over it accompanied by the word ""smaller"".  FS.",,See also image on other side.,,"Very quick layout sketch for obverse [790a], with a formless outline over it accompanied by the word ""smaller"".",Full sheet,,,
0791b,Phascolomys wombat,ksrl_sc_gould_0791b,ksrl_sc_gould_0791v.tif,Phascolomys,wombat,,,pencil on paper,Phascolomys wombat,,,,,,,,,,,,,,,,"Layout drawing, animal well finished; note on form; ""Reverse this"" at foot of page.  Reverse: very rough layout sketch for obverse, with the note ""Head a size larger than life; unrelated sketch of a field trap(?).  FS.",,See also image on other side.,,"Very rough layout sketch for obverse [791a], with the note ""Head a size larger than life; unrelated sketch of a field trap(?).",Full sheet,,,
671,Phascolomys latifrons,ksrl_sc_gould_0671,ksrl_sc_gould_0671.tif,Phascolomys,latifrons,,1859,pencil on paper,Phascolomys latifrons,,R,R,G;R,JG;R,MM_1,MM,1,1,58,,,,,,"Layout drawing, principal animal well finished; note on form; in margins: money calculation, and a list of plates (for costing or payment?).    FS.",,,,"Layout drawing, principal animal well finished; note on form; in margins: money calculation, and a list of plates (for costing or payment?).",Full sheet,,,
672,Phascolomys latifrons,ksrl_sc_gould_0672,ksrl_sc_gould_0672.tif,Phascolomys,latifrons,,1859,pencil on paper,Phascolomys latifrons,,R,R,G;R,JG;R,MM_1,MM,1,1,57,,,,,,"Layout drawing, well advanced; note on form.  FS.",,,,"Layout drawing, well advanced; note on form.",Full sheet,,,
0673a,Phascolomys lasiorhinus,ksrl_sc_gould_0673a,ksrl_sc_gould_0673.tif,Phascolomys,lasiorhinus,,1863,pencil and crayon on paper,Phascolomys lasiorhinus,,R,R,G;R,JG;R,MM_1,MM,1,1,59,,,,,,"Layout drawing, animal well advanced.  Reverse: outline copy traced through, largely erased; construction diagrams for a clock?  39 x 45cm, 2 corners torn off.",,See also image on other side.,39 x 45cm,"Layout drawing, animal well advanced.",2 corners torn off,,,
0673b,Phascolomys lasiorhinus,ksrl_sc_gould_0673b,ksrl_sc_gould_0673v.tif,Phascolomys,lasiorhinus,,,pencil and crayon on paper,Phascolomys lasiorhinus,,,,,,,,,,,,,,,,"Layout drawing, animal well advanced.  Reverse: outline copy traced through, largely erased; construction diagrams for a clock?  39 x 45cm, 2 corners torn off.",,See also image on other side.,39 x 45cm,"Outline copy traced through, largely erased; construction diagrams for a clock?",2 corners torn off,,,
732,Phascolomys lasiorhinus,ksrl_sc_gould_0732,ksrl_sc_gould_0732.tif,Phascolomys,lasiorhinus,,1863,pencil and watercolor paint on paper,Phascolomys lasiorhinus,,FM,FM,,,MM_1,MM,1,1,59,,,,,,"Full face view, in fine watercolor, captioned and signed by Frederick McCoy.  See notes to Gould 0731.  18 x 24cm.","Captioned and signed ""Frederick McCoy"".","Gould 0731-0733 were pinned together in corner; separated 2-25-71; all captioned and signed ""Frederick McCoy"".",18 x 24cm,"Full face view, in fine watercolor",,,,
733,Phascolomys lasiorhinus,ksrl_sc_gould_0733,ksrl_sc_gould_0733.tif,Phascolomys,lasiorhinus,,1863,pencil and watercolor paint on paper,Phascolomys lasiorhinus,,FM,FM,,,MM_1,MM,1,1,59,,,,,,"Face 3/4 view, from above, in fine watercolor, captioned and signed by Frederick McCoy.  See notes to Gould 0731.  26 x 22cm.","Captioned and signed ""Frederick McCoy"".","Gould 0731-0733 were pinned together in corner; separated 2-25-71; all captioned and signed ""Frederick McCoy"".",26 x 22cm,"Face 3/4 view, from above, in fine watercolor",,,,
695,Phascolarctos cinereus,ksrl_sc_gould_0695,ksrl_sc_gould_0695.tif,Phascolarctos,cinereus,,1854,pencil on paper,Phascolarctos cinereus,,R,R,G;R,JG;R,MM_1,MM,1,1,13,,,,,,"Layout sketch, animal well finished, particularly the face.  FS.",,,,"Layout sketch, animal well finished, particularly the face.",Full sheet,,,
828,Phasanius shawi,ksrl_sc_gould_0828,ksrl_sc_gould_0828.tif,Phasanius,shawi,,1876-07,"pencil, chalk, charcoal, and pastel on paper",Phasanius shawi,,H[?],H[?],G;H,JG;H,AS_1,AS,1,7,35,,,,,,"Layout drawing in charcoal, quite well finished for the medium.  The drawing shows some of the characteristics of Wolf (cf. Gould 0827) and is certainly far more lively than the published plate.  Title in pencil by Sotheran, bookseller.  Reverse: graphited for tracing.  FS.",The drawing shows some of the characteristics of Wolf (cf. Gould 0827) and is certainly far more lively than the published plate.,Graphited for tracing on other side.,,"Layout drawing in charcoal, quite well finished for the medium.    Title in pencil by Sotheran, bookseller.",Full sheet,,,
938,Pharomacrus pavoninus,ksrl_sc_gould_0938,ksrl_sc_gould_0938.tif,Pharomacrus,pavoninus,,1869,pencil and watercolor paint on paper,Pharomacrus pavoninus,,R,R,G;R,JG;R,TR_2,TR,2,1,5,,,,,,"Rough layout drawing, color added; [Curtis] 6-4526; large letter ""G.""    FS.",,,,"Rough layout drawing, color added; [Curtis] 6-4526; large letter ""G.""",Full sheet,,,
1647,Pharomacrus mocinno,ksrl_sc_gould_1647,ksrl_sc_gould_1647.tif,Pharomacrus,mocinno,,1875,pencil on paper,Pharomacrus mocinno,tissue,H,H,G;H,JG;H,TR_2,TR,2,1,1,,,,,,"Drawing on tissue; the upper half graphited on the reverse.  A rough oval line surrounds and limits the drawing.  ""Berberia elegans.""   An illegible note at the head of the sheet.",,The upper half graphited on the other side.,,"Drawing on tissue.  A rough oval line surrounds and limits the drawing.  ""Berberia elegans.""   An illegible note at the head of the sheet.",,,,
1230,Pharomacrus fulgidus,ksrl_sc_gould_1230,ksrl_sc_gould_1230.tif,Pharomacrus,fulgidus,,1858,pencil and crayon on paper,Pharomacrus fulgidus,,R,R,G;R,JG;R,TR_2,TR,2,1,3,,,,,,"Layout drawing, birds well finished; note on form; Curtis 12-4913.  Reverse: diagrammatic sketch of leaf form on obverse.  45 x 38cm.",,Diagrammatic sketch of leaf form from obverse on other side.,45 x 38cm,"Layout drawing, birds well finished; note on form; Curtis 12-4913.",,,,
0947a,Pharomacrus fulgidus,ksrl_sc_gould_0947a,ksrl_sc_gould_0947.tif,Pharomacrus,fulgidus,,1858,pencil and watercolor paint on paper,Pharomacrus fulgidus,,R,R,G;R,JG;R,TR_2,TR,2,1,3,,,,,,Rough layout drawing; pose of one of the 2 birds greatly changed in the published plate.   Reverse: uncolored litho print of Malurus lamberti.  FS.,,See also image on other side.,,Rough layout drawing; pose of one of the 2 birds greatly changed in the published plate.,Full sheet,,,
1982,Pharomacrus auriceps,ksrl_sc_gould_1982,ksrl_sc_gould_1982.tif,Pharomacrus,auriceps,,1875,pencil on paper,Pharomacrus auriceps,tissue,H,H,G;H,JG;H,TR_2,TR,2,1,4a,,,,,,Tracing on tissue; graphited on reverse.,,Graphited on other side.,,Tracing on tissue.,,,,
930,Pharomacrus auriceps,ksrl_sc_gould_0930,ksrl_sc_gould_0930.tif,Pharomacrus,auriceps,,1858,pencil and watercolor paint on paper,Pharomacrus auriceps,,R,R,G;R,JG;R,TR_2,TR,2,1,4,,,,,,"Layout drawing, color added;  2 notes on color, 2 on form; head and eye detail sketches in margin; ""Plant from Col. Plate""; large letter ""B.""  FS.",,,,"Layout drawing, color added;  2 notes on color, 2 on form; head and eye detail sketches in margin; ""Plant from Col. Plate""; large letter ""B.""",Full sheet,,,
1261,Pharomacrus antisianus,ksrl_sc_gould_1261,ksrl_sc_gould_1261.tif,Pharomacrus,antisianus,,1858,pencil on paper,Pharomacrus antisianus,,R,R,G;R,JG;R,TR_2,TR,2,1,2,,,,,,"Layout drawing, birds well finished; 3 notes on color, 3 on form; ""Book of Palms"" (indicating roughly sketched palm group in the background, and presumably referring to a source book); ""4 specimens & head""; at foot of sheet: ""27"" in circle.  47 x 38cm.",,,47 x 38cm,"Layout drawing, birds well finished; 3 notes on color, 3 on form; ""Book of Palms"" (indicating roughly sketched palm group in the background, and presumably referring to a source book); ""4 specimens & head""; at foot of sheet: ""27"" in circle.",,,,
0946a,Pharomacrus antisianus,ksrl_sc_gould_0946a,ksrl_sc_gould_0946.tif,Pharomacrus,antisianus,,1858,pencil and watercolor paint on paper,Pharomacrus antisianus,,R,R,G;R,JG;R,TR_2,TR,2,1,2,,,,,,"Rough layout drawing by Gould, with heavy erasure and minor subsequent work by Richter, color added;   one note on form.  Reverse: uncolored litho print of Malurus lamberti.  FS.","Rough layout drawing by Gould, with heavy erasure and minor subsequent work by Richter, color added;   one note on form.",See also image on other side.,,,Full sheet,,,
1232a,Pharomacrus [?],ksrl_sc_gould_1232a,ksrl_sc_gould_1232.tif,,,,,pencil on paper,Pharomacrus ?,,,,,,,,,,,,,,Unpublished?,,"Layout drawing, birds well finished; 6 notes on form.   Reverse: uncolored litho print of Xerophila leucopsis.  FS.",,See also image on other side.,,"Layout drawing, birds well finished; 6 notes on form.",Full sheet,,,
0305a,Phalaropus fulicarius (summer plumage),ksrl_sc_gould_0305a,ksrl_sc_gould_0305.tif,Phalaropus,fulicarius,,1866,pencil and watercolor paint on paper,Phalaropus fulicarius (summer plumage),,G,JG,G;R,JG;R,GB_1,GB,1,4,81,,,,,,"Untitled litho proof heavily modified and annotated by Gould, and followed in published plate.  Reverse: sketch of female P.f., not used in plate.  FS",,See also image on other side.,,"Untitled litho proof heavily modified and annotated by Gould, and followed in published plate.",Full sheet,,,
1601,Phalaropus fulicarius,ksrl_sc_gould_1601,ksrl_sc_gould_1601.tif,Phalaropus,fulicarius,,1866,pencil on paper,Phalaropus fulicarius,tissue,R,R,G;R,JG;R,GB_1,GB,1,4,81,,,,,,Drawing on tissue; reversed on stone.  Some drawing from the reverse side.,,,,Drawing on tissue; reversed on stone.  Some drawing from the reverse side.,,,,
0305b,Phalaropus fulicarius,ksrl_sc_gould_0305b,ksrl_sc_gould_0305v.tif,Phalaropus,fulicarius,,,pencil on paper,Phalaropus fulicarius,,,,,,,,,,,,,,,,"Untitled litho proof heavily modified and annotated by Gould, and followed in published plate.  Reverse: sketch of female P.f., not used in plate.  FS",,See also image on other side.,,"Sketch of female Phalaropus fulicarius, not used in plate.",Full sheet,,,
792,Phalangista vulpina,ksrl_sc_gould_0792,ksrl_sc_gould_0792.tif,Phalangista,vulpina,,1856,pencil on paper,Phalangista vulpina,,R,R,G;R,JG;R,MM_1,MM,1,1,16,,,,,,"Layout drawing, animal fairly well finished.  FS.",,,,"Layout drawing, animal fairly well finished.",Full sheet,,,
0699a,Phalangista viverrina,ksrl_sc_gould_0699a,ksrl_sc_gould_0699.tif,Phalangista,viverrina,,1856,"pencil, chalk, charcoal, and pastel on paper",Phalangista viverrina,,,,,,MM_1,MM,1,1,19,,,,,,"Layout drawing, animals well finished; 4 notes on color, 4 on form.  Reverse: uncolored litho print of Nestor hypopolius.  FS.",,See also image on other side.,,"Layout drawing, animals well finished; 4 notes on color, 4 on form.",Full sheet,,,
678,Phalangista laniginosa,ksrl_sc_gould_0678,ksrl_sc_gould_0678.tif,Phalangista,laniginosa,,1858,pencil on paper,Phalangista laniginosa,,R,R,G;R,JG;R,MM_1,MM,1,1,20,,,,,,"Layout sketch, animal well finished; note on form: ""different lumps & texture. Richter"" in Gould's hand.  Unevenly clipped and torn, overall ca. 50 x 38cm.",,,50 x 38cm,"Layout sketch, animal well finished; note on form: ""different lumps & texture. Richter"" in Gould's hand.",Unevenly clipped and torn,,,
0698a,Phalangista cooki,ksrl_sc_gould_0698a,ksrl_sc_gould_0698.tif,Phalangista,cooki,,1856,"pencil, chalk, charcoal, and pastel on paper",Phalangista cooki,,R,R,G;R,JG;R,MM_1,MM,1,1,18,,,,,,"Layout drawing, animals mostly finished; note on color; ""Red small sp[ecies]?""   Reverse: uncolored litho print of Myzantha garrula.  FS.",,See also image on other side.,,"Layout drawing, animals mostly finished; note on color; ""Red small sp[ecies]?""",Full sheet,,,
0714a,Phalangista canina,ksrl_sc_gould_0714a,ksrl_sc_gould_0714.tif,Phalangista,canina,,1856,pencil on paper,Phalangista canina,,R,R,G;R,JG;R,MM_1,MM,1,1,17,,,,,,"Layout drawing, animals advanced; 3 notes on form, one on color; ""richmond river"" [mentioned in published text as a source].  Reverse: uncolored litho print of Nestor hypopolius.    FS.",,See also image on other side.,,"Layout drawing, animals advanced; 3 notes on form, one on color; ""richmond river"" [mentioned in published text as a source].",Full sheet,,,
1511,Phalacrocorax carboides,ksrl_sc_gould_1511,ksrl_sc_gould_1511.tif,Phalacrocorax,carboides,,1848,pencil on paper,Phalacrocorax carboides,,R,R,G;R,JG;R,AU_1,AU,1,7,66,,,,,,"Male well drawn, with much of Gould's sketch visible; female heavily erased and left as outline sketch;  relative positions of the 2 birds slightly changed in published plate.   Reverse: uncolored litho print of Strepera graculina.  See general notes at Gould 1287.",Much of Gould's sketch visible.,See General Notes at Gould 1287 and 1410a.,,Male well drawn; female heavily erased and left as outline sketch;  relative positions of the 2 birds slightly changed in published plate.,,,,
185,Phaiolaima rubinoides,ksrl_sc_gould_0185,ksrl_sc_gould_0185.tif,Phaiolaima,rubinoides,,1858,pencil on paper,Phaiolaima rubinoides,,R,R,G;R,JG;R,HB_1,HB,1,4,268,,,,,,"Layout drawing, birds fairly well finished; corrections;  rough marginal sketches of insect and cat (neither related to this plate); [Curtis] 12-4905--Laelia acuminata.  Title in pencil by Sotheran, bookseller.  Sheet trimmed to ca. 43cm.",,,43cm,"Layout drawing, birds fairly well finished; corrections;  rough marginal sketches of insect and cat (neither related to this plate); [Curtis] 12-4905--Laelia acuminata. Title in pencil by Sotheran, bookseller.",Sheet trimmed,,,
2315,Phaeton phoenicurus  (eggs),ksrl_sc_gould_2315,ksrl_sc_gould_2315.tif,Phaeton,phoenicurus,,,,Phaeton phoenicurus  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of two large eggs, with printed title..  Previously cited as GCS O-20, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.   An original drawing, unsigned, is in Lord Derby's collection, No. 14 (see Sauer, 1982, p.259).",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of two large eggs, with printed title.   Previously cited as GCS O-20, and so marked in pencil on reverse.   An original drawing, unsigned, is in Lord Derby's collection, No. 12 (see Sauer, 1982, p.259).",,,,
1513a,Phaeton phoenicurus,ksrl_sc_gould_1513a,ksrl_sc_gould_1513.tif,Phaeton,phoenicurus,,1848,pencil on paper,Phaeton phoenicurus,,R,R,G;R,JG;R,AU_1,AU,1,7,73,,,,,,Birds well drawn; label blank.   Reverse: uncolored litho print of  Xerophila leucopsis.  See general notes at Gould 1287.,,See General Notes at Gould 1287 and 1410a. See also image on other side.,,Birds well drawn; label blank.,Leaf made rectangular by corner addition.,,,
157,Phaeton flavirostris,ksrl_sc_gould_0157,ksrl_sc_gould_0157.tif,Phaeton,flavirostris,,,"watercolor paint, chalk, charcoal, and pastel on paper",Phaeton flavirostris,,G,JG,,,,,,,,,,,,,"Sketch by Gould, colored; several notes in pencil, some almost completely illegible; ""Go on with this as it belongs to Mr. Sharp""?; small blue paper note pasted on: ""?young of Phaeton flavirostris"";  the only Phaeton species listed by Sharpe is P. phoenicurus--no similarity of design between this drawing and the published of P.p.; ""Reverse.""","Sketch by Gould, colored",,,"Several notes in pencil, some almost completely illegible; ""Go on with this as it belongs to Mr. Sharp""?; small blue paper note pasted on: ""?young of Phaeton flavirostris""; the only Phaeton species listed in Sharpe's Index is Phaeton phoenicurus--no similarity of design between this drawing and the published of Phaeton phoenicurus; ""Reverse.""",,,,
1716,Phaethornis yaruqui,ksrl_sc_gould_1716,ksrl_sc_gould_1716.tif,Phaethornis,yaruqui,,1852,pencil and watercolor paint on paper,Phaethornis yaruqui,tissue,R,R,G;R,JG;R,HB_1,HB,1,1,27,,,,,,"Fine drawing on tissue, with watercolor added.  At head of sheet: ""Macleania angulata / 3979 / vol 69 / Curtis B[. . .] / of the Whole Work""; at foot: ""Lith This Way.""  Published plate reads ""Phaethornis yarugui.""",,,,"Fine drawing on tissue, with watercolor added.  At head of sheet: ""Macleania angulata / 3979 / vol 69 / Curtis B[. . .] / of the Whole Work""; at foot: ""Lith This Way.""  Published plate reads ""Phaethornis yarugui.""",,,,
189,Phaethornis viridicaudata,ksrl_sc_gould_0189,ksrl_sc_gould_0189.tif,Phaethornis,viridicaudata,,1858,pencil on paper,Phaethornis viridicaudata,,R,R,G;R,JG;R,HB_1,HB,1,1,33,,,,,,"Layout drawing, birds well finished; corrections;  [Curtis] 12-4948--Gallipea macrophylla; large letter F.  Title in pencil by Sotheran, bookseller.  Sheet trimmed to ca. 47cm.",,,47cm,"Layout drawing, birds well finished; corrections;  [Curtis] 12-4948--Gallipea macrophylla; large letter F. Title in pencil by Sotheran, bookseller.",  Sheet trimmed,,,
